Key;Type;Desc;English;French;Spanish;German;Italian
#Building;Text;;Building;Bâtiment;Edificio;Gebäude;Costruzioni
#Companies;Text;;Companies;compagnies;Compañías;Kompanien.;Compagnie
#Company;Text;;Company;compagnie;Compañía;Kompanie.;Compagnia
#Soldier;Text;;Soldier;soldat;Soldado;Soldat.;Soldato
#Soldiers;Text;;Soldiers;soldats;Soldados;Soldaten.;Soldati
#Victory_Difficulty;Text;;Least-difficult level:;Niveau le plus bas utilisé :;Dificultad:;Schwierigkeitsgrad:;Livello di difficoltà minore:
#Victory_Duration;Text;;Mission was completed in;Mission terminée en;La misión se ha terminado en;Dauer der Mission:;Missione completata in
#Victory_Duration_Months;Text;;months;mois;meses;Monate;mesi
#Warship;Text;;Warship;navire de guerre;Barco de guerra;Kriegsschiff.;Nave da guerra
#Warships;Text;;Warships;navires de guerre;Barcos de guerra;Kriegsschiffe.;Navi da guerra
Building/#Bazaar;Text;;Bazaar;Bazar;Bazar;Basar;Bazar
Building/#Granary;Text;;Granary;Grenier;Granero;Silo;Granaio
Building/#StorageYard;Text;;Storage Yard;Entrepôt;Almacén;Warenlager;Deposito merci
Buildings/#Academy;Text;;Military Academy;Académie militaire;Academia militar;Militärakademie;Accademia militare
Buildings/#Administration;Text;;Administration;Administration;Gobierno;Verwaltung;Amministrazione
Buildings/#Altar_built;Text;;The Altar of this Temple Complex is already built;L'autel de cet ensemble de temples a déjà été construit.;El altar de este complejo de templos ya está construido.;Der Altar dieser Tempelanlage ist bereits errichtet.;L’altare di questo complesso di templi è già stato costruito
Buildings/#AmonAltar;Text;;Altar of Amon;Autel d'Amon;Altar de Amón;Altar des Amun;Altare di Amon
Buildings/#AnubisAltar;Text;;Altar of Anubis;Autel d'Anubis;Altar de Anubis;Altar des Anubis;Altare di Anubis
Buildings/#Apothecary;Text;;Apothecary;Apothicaire;Botica;Apotheke;Farmacia
